Estimate	Std. Error	z value	Pr(>|z|)	Variable
-9.912226283919622	77.45398938709523	-0.12797567126440512	0.8981682262242429	(Intercept)
-0.06020702679698846	0.06483033009314154	-0.9286861058780543	0.3530517833475977	adiponectin
0.06568136713399175	0.04418242512005433	1.4865948837240055	0.13712183990845034	age_years
-0.3639803043074405	0.8645281486204647	-0.42101614029369333	0.6737432959652672	age_range41_62
0.0936441390288064	0.17541213994441254	0.5338520985975195	0.5934438654094556	BMI
-0.49705141284310905	1.4419123990143567	-0.34471678944079875	0.7303072948040228	BMI_classObese
-0.4844568460967309	0.8015177382533142	-0.6044243601551107	0.5455615440440182	BMI_classOverweight
-0.00521886595538193	0.08114794904426864	-0.0643129742260631	0.9487210229040813	Body_Fat_Percentage
-3.4038750565022557e-4	7.325756916310696e-4	-0.46464482720189293	0.6421858248725306	Calorie_intake
-1.9390411627184785	1.3234126927699388	-1.4651825339985312	0.1428711235356876	cityBogota
-0.3654199700188972	1.2887662117706653	-0.28354248170181184	0.7767610214858167	cityBucaramanga
0.2606410908706254	1.063421751672629	0.24509663307212748	0.8063816098532924	cityCali
-0.17634465917408465	1.0270975481379028	-0.17169222095193612	0.8636795017805986	cityMedellin
0.03394910890583933	0.03397269133481889	0.9993058416023877	0.317646556478724	diastolic_bp
-0.028592446139189986	0.06318542225302334	-0.4525165001619005	0.6508969371938086	fiber
0.09553577444817246	0.03244013398806967	2.9449870485524854	0.0032296818182830983	glucose
-0.23524849096924152	0.5294736121574685	-0.4443063555342533	0.6568211068721215	Hemoglobin_a1c
0.1768625322308843	0.04531032819316906	3.9033602113159693	9.486635149857338e-5	CRP
0.21621952341237924	0.05085857043651629	4.2513881447429425	2.1244960868658543e-5	insulin
-0.05254447541791923	0.05391408974768237	-0.9745963562368773	0.32976052178203913	Total_Cholesterol
-0.11353196467020893	0.06327633112073658	-1.7942248335097108	0.07277728994094415	HDL
0.059366749132156685	0.053518825631828346	1.109268531797725	0.26731435604128556	LDL
-0.1594781026706518	0.15466706547174258	-1.031105763752841	0.30249122522267957	VLDL
0.05871704813353411	0.030597902663423545	1.9189893104576718	0.05498568668530701	Triglycerides
0.8986200724350394	0.46671415319471143	1.925418516417132	0.054177020936451145	medicationYes
-0.033826757408424044	0.7495100623239072	-0.045131825586893215	0.9640022341096605	per_carbohydrates
-0.18034678986864952	0.7899163089726343	-0.2283112626237692	0.8194042694569711	per_total_protein
0.12544923939751285	0.8568957389135285	0.14639965365748217	0.8836059007062697	per_total_fat
-0.03570726229163191	0.06616476318404355	-0.5396718823327272	0.5894233342317525	per_animal_protein
-0.45474364928922895	0.391815162406161	-1.1606075847004498	0.24580151954975615	per_monoinsaturated_fat
-0.40890348023228423	0.3731493761483604	-1.0958171348240666	0.27315880834986234	per_polyunsaturated_fat
0.2903316644344436	0.27427395149175	1.0585462558706622	0.2898064742136464	per_saturated_fat
-1.355891785381464	0.8241821557684811	-1.6451360611140726	0.09994175547449628	sexmale
0.46015852885079594	0.692180728190202	0.6647953491192122	0.5061813977903689	smokerYes
-1.47468282260579	1.226420359164363	-1.2024285242708983	0.2291975432475864	stool_consistencyHard
0.3962242980213554	1.060887859065126	0.37348367655985387	0.7087884920919385	stool_consistencyNormal
-0.8717309377802662	1.5102800252814816	-0.5771982170113092	0.5638055613934321	stool_consistencysoft
0.04792540603206858	0.022035408146812895	2.1749270861134606	0.02963558078644234	systolic_bp
-7.711768515493749e-5	4.330670803993072e-5	-1.7807330237115124	0.07495607553666847	MET_mins_per_week
-0.015333818392641639	0.04853716409345098	-0.31591912463444893	0.7520638954164705	waist_circumference
